Perioden;Regio's;Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpraktijk (km);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 1 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 3 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Aantal huisartsenpraktijken/Binnen 5 km (aantal);Gezondheid en welzijn/Huisartsenpraktijk/Afstand tot huisartsenpost (km);Gezondheid en welzijn/Afstand tot apotheek (km);Gezondheid en welzijn/Ziekenhuis (incl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Ziekenhuis (excl. buitenpolikliniek)/Afstand tot ziekenhuis (km);Gezondheid en welzijn/Afstand tot consultatiebureau (km);Gezondheid en welzijn/Fysiotherapeut/Afstand tot fysiotherapeut (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot grote supermarkt (km);Detailhandel/Winkels dagelijkse boodschappen/Afstand tot ov. dagel. levensmiddelen (km);Detailhandel/Warenhuis/Afstand tot warenhuis (km);Horeca/Cafés en dergelijke/Afstand tot café e.d. (km);Horeca/Cafetaria's en dergelijke/Afstand tot cafetaria e.d. (km);Horeca/Restaurants/Afstand tot restaurant (km);Horeca/Hotels en dergelijke/Afstand tot hotel e.d. (km);Groenvoorzieningen/Openbaar groen/Afstand tot openbaar groen totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot park of plantsoen (km);Groenvoorzieningen/Openbaar groen/Afstand tot dagrecreatief terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot bos (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat. terrein totaal (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open droog nat. terrein (km);Groenvoorzieningen/Openbaar groen/Afstand tot open natuurlijk terrein/Afstand tot open nat natuurlijk terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot semi-openbaar groen totaal (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot sportterrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot volkstuin (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot verblijfsrecreatief terrein (km);Groenvoorzieningen/Semi-openbaar groen/Afstand tot begraafplaats (km);Groenvoorzieningen/Afstand tot recreatief binnenwater (km);Vrije tijd en cultuur/Afstand tot bibliotheek (km);Vrije tijd en cultuur/Sport/Afstand tot zwembad (km);Vrije tijd en cultuur/Sport/Afstand tot kunstijsbaan (km);Vrije tijd en cultuur/Museum/Afstand tot museum (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot podiumkunsten totaal (km);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 5 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 10 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Aantal podiumkunsten totaal/Binnen 20 km (aantal);Vrije tijd en cultuur/Podiumkunsten (excl. festivals)/Afstand tot poppodium (km);Vrije tijd en cultuur/Bioscoop/Afstand tot bioscoop (km);Vrije tijd en cultuur/Recreatie/Afstand tot sauna (km);Vrije tijd en cultuur/Recreatie/Afstand tot zonnebank (km);Vrije tijd en cultuur/Recreatie/Afstand tot attractie (km)
2016;Ambt Montfort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Ambt Montfort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Ambt Montfort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Ambt Montfort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Ambt Montfort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Ambt Montfort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Arcen en Velden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Arcen en Velden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Arcen en Velden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Arcen en Velden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020;Arcen en Velden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Arcen en Velden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2016;Beek (L.);     0.9;     1.1;     4.5;    13.8;     6.0;     1.3;     6.0;     6.0;       .;       .;     1.0;     0.6;     2.4;     0.5;     0.6;     0.7;     1.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     1.7;     4.1;     2.0;     8.1;     0.0;     2.2;     9.0;     9.1;     6.9;     2.5;     1.7;     7.7
2017;Beek (L.);     0.9;     1.1;     4.5;    13.8;       .;     1.3;     6.0;     6.0;       .;       .;     1.0;     0.6;     2.4;     0.5;     0.6;     0.7;     1.6;     0.6;     1.1;     3.4;     0.7;     5.4;     8.1;     5.8;     0.5;     0.8;     2.1;     3.4;     1.3;     3.3;     1.7;     1.7;     4.1;     2.0;     8.1;     0.0;     2.2;     9.0;     9.1;     6.9;     2.5;     1.7;     7.7
2018;Beek (L.);     0.9;     1.1;     4.5;    13.7;     6.7;     1.3;     6.0;     6.0;       .;       .;     1.0;     0.6;     2.3;     0.5;     0.6;     0.7;     1.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     1.7;     4.1;     2.0;     8.1;     0.0;     2.2;     9.0;     9.1;     6.9;     2.5;     1.7;     7.7
2019;Beek (L.);     0.8;     1.1;     4.6;    13.8;     6.8;     1.3;     6.1;     6.1;       .;       .;     1.0;     0.6;     2.3;     0.5;     0.6;     0.6;     1.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     1.7;     4.0;     2.0;     8.0;     0.0;     2.2;     9.0;     9.1;     6.8;     2.5;     1.7;     7.7
2020;Beek (L.);     1.0;     0.6;     3.8;    12.7;     6.8;     1.3;     6.1;     6.1;       .;       .;     1.0;     0.7;     2.3;     0.5;     0.6;     0.6;     1.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     1.7;     4.0;     2.0;     8.0;     0.0;     2.2;     9.0;     9.1;     6.8;     3.1;     1.7;     7.7
2021;Beek (L.);     1.0;     0.6;     4.2;    13.7;     6.8;     1.4;     6.1;     6.1;       .;       .;     1.0;     0.7;     2.3;     0.9;     0.6;     0.6;     2.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.7;     1.6;     4.0;     2.0;     8.1;     0.0;     2.1;     9.0;     9.1;     6.8;     3.1;     3.8;     7.7
2016;Beekdaelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Beekdaelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Beekdaelen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2019;Beekdaelen;     0.8;     0.9;     3.5;    10.6;     9.4;     1.7;     6.8;     9.1;       .;       .;     1.0;     0.7;     3.9;     0.7;     0.7;     0.7;     2.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     3.7;     8.7;     5.1;     7.3;     0.1;     2.2;     7.7;     8.8;     8.5;     3.6;     3.5;     7.2
2020;Beekdaelen;     0.9;     0.7;     3.1;     8.7;     9.4;     1.8;     6.9;     9.1;       .;       .;     1.1;     0.8;     4.1;     0.7;     0.7;     0.7;     2.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;     3.9;     8.7;     5.2;     7.3;     0.1;     2.2;     7.7;     8.8;     8.5;     3.9;     3.9;     7.2
2021;Beekdaelen;     0.9;     0.7;     3.0;     8.7;     9.4;     1.8;     6.9;     9.1;       .;       .;     1.0;     0.8;     4.1;     0.8;     0.7;     0.7;     2.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;     3.9;     8.6;     5.2;     7.3;     0.1;     2.2;     7.7;     8.8;     8.4;     4.0;     3.6;     7.3
2016;Beesel;     1.0;     0.5;     1.5;     3.7;    10.6;     3.7;     1.5;     1.5;       .;       .;     0.7;     0.6;     1.5;     0.7;     0.6;     0.8;     3.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.4;     7.8;    42.5;     7.2;    11.1;     0.0;     0.2;     6.0;    12.0;     1.4;    13.0;     1.8;    10.6
2017;Beesel;     1.0;     0.5;     1.5;     3.7;       .;     3.7;     1.5;    10.8;       .;       .;     0.7;     0.6;     1.5;     0.7;     0.6;     0.8;     3.1;     0.6;     1.4;     3.3;     0.7;     3.4;     4.2;     3.5;     0.7;     0.7;    10.6;     1.7;     2.1;     5.7;     1.4;     7.8;    42.5;     7.2;    10.0;     0.0;     0.6;     6.0;    12.0;     1.5;    13.0;     1.8;    10.7
2018;Beesel;     1.0;     0.5;     1.5;     3.7;    10.6;     3.7;     1.5;    10.8;       .;       .;     0.7;     0.6;     1.5;     0.7;     0.6;     0.8;     3.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.4;     7.8;    42.5;     7.2;    10.0;     0.0;     0.6;     6.0;    12.4;     1.4;    13.0;     1.8;    10.7
2019;Beesel;     1.0;     0.5;     1.5;     3.7;    10.6;     3.7;     1.5;    10.3;       .;       .;     0.7;     0.6;     1.5;     0.7;     0.6;     0.8;     3.2;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     7.7;    42.7;     7.2;    10.1;     0.0;     0.5;     6.0;    12.3;     1.5;    12.8;     1.8;    10.7
2020;Beesel;     1.0;     0.5;     1.5;     3.7;    10.6;     3.7;     1.5;    10.3;       .;       .;     0.7;     0.6;     1.5;     0.7;     0.6;     0.8;     2.6;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     7.4;    42.9;     7.2;    10.1;     0.0;     0.5;     6.0;    12.3;     1.5;    12.8;     1.8;    10.3
2021;Beesel;     1.0;     0.5;     1.5;     3.7;    10.6;     3.7;     1.6;    10.3;       .;       .;     0.7;     0.6;     1.5;     0.7;     0.6;     0.8;     3.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     7.4;    43.0;     7.2;    10.1;     0.0;     0.5;     6.0;    12.3;     1.5;    15.8;     1.8;    10.3
2016;Bergen (L.);     2.2;     0.5;     0.7;     1.3;    12.7;     4.3;    13.2;    13.2;       .;       .;     1.8;     1.1;     4.4;     1.4;     1.1;     0.7;     4.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     4.4;     4.5;    35.4;    10.7;    14.4;     0.0;     0.0;     1.4;    28.4;    14.4;    15.9;    12.0;     4.9
2017;Bergen (L.);     2.2;     0.5;     0.7;     1.3;       .;     4.3;    13.2;    13.2;       .;       .;     1.8;     1.1;     4.4;     1.4;     1.1;     0.7;     4.8;     0.4;     2.1;     3.7;     0.6;     1.2;     1.4;     1.9;     0.8;     1.1;    11.2;     1.9;     4.3;     2.9;     4.5;     4.5;    35.4;    10.7;    14.4;     0.0;     0.0;     1.4;    28.4;    14.4;    16.0;    12.0;     4.9
2018;Bergen (L.);     2.2;     0.5;     0.8;     1.4;    13.0;     4.3;    13.4;    13.4;       .;       .;     1.8;     1.2;     4.5;     1.4;     1.1;     0.7;     4.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     4.4;     4.4;    35.4;    10.8;    14.4;     0.0;     0.0;     1.4;    28.5;    14.5;    16.0;    12.7;     4.8
2019;Bergen (L.);     2.2;     0.5;     0.8;     1.4;    12.9;     2.8;    13.3;    13.3;       .;       .;     1.7;     1.2;     4.5;     1.4;     1.1;     0.7;     4.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     4.2;     4.4;    35.3;    10.6;    14.2;     0.0;     0.0;     1.5;    27.9;    14.3;    15.6;    14.1;     4.9
2020;Bergen (L.);     2.2;     0.5;     0.7;     1.4;    12.9;     2.8;    13.3;    13.3;       .;       .;     2.4;     1.2;     4.5;     1.4;     1.1;     0.7;     4.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     4.3;     4.4;    35.3;    10.6;    14.1;     0.0;     0.0;     1.5;    27.9;    14.1;    13.4;    14.0;     4.9
2021;Bergen (L.);     2.2;     0.5;     0.7;     1.0;    13.1;     2.9;    13.6;    13.6;       .;       .;     1.8;     1.2;     4.5;     1.4;     1.1;     0.8;     4.7;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     4.3;     4.4;    35.4;    12.4;    13.6;     0.0;     0.1;     2.0;    28.0;    16.6;    13.4;    16.5;     4.9
2016;Borne;     1.2;     0.7;     2.8;     5.4;     6.0;     1.4;     6.1;     6.1;       .;       .;     1.0;     0.6;     1.5;     1.0;     0.6;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.0;    11.7;     1.6;     3.1;     1.2;     4.7;    15.0;     6.3;     5.6;     5.4;     1.5;     2.2
2017;Borne;     1.2;     0.7;     2.8;     5.4;       .;     1.5;     6.0;     6.0;       .;       .;     1.0;     0.6;     1.5;     1.1;     0.6;     0.8;     2.3;     0.5;     0.7;     7.1;     1.2;     2.4;     3.7;     2.4;     1.0;     1.5;     2.2;     3.8;     1.4;     1.8;     1.5;     2.1;    11.9;     1.6;     3.2;     1.1;     4.6;    15.0;     6.3;     5.6;     5.4;     1.5;     2.2
2018;Borne;     1.2;     0.7;     2.8;     5.3;     6.0;     1.5;     6.0;     6.0;       .;       .;     1.0;     0.6;     1.5;     1.1;     0.6;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     2.1;    11.9;     1.6;     3.2;     1.1;     4.6;    14.0;     6.3;     5.5;     5.4;     1.5;     2.2
2019;Borne;     1.1;     0.8;     2.8;     5.4;     5.9;     1.5;     5.9;     5.9;       .;       .;     1.0;     0.7;     1.5;     1.1;     0.6;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;     2.1;    11.6;     1.6;     3.4;     1.2;     4.6;    14.1;     6.1;     5.5;     5.3;     1.5;     2.1
2020;Borne;     1.1;     0.8;     2.8;     5.4;     5.9;     1.5;     5.9;     5.9;       .;       .;     1.0;     0.7;     1.5;     1.2;     0.6;     0.8;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;     2.1;    11.6;     1.6;     3.4;     1.2;     4.6;    14.1;     6.1;     5.5;     5.3;     1.5;     2.1
2021;Borne;     1.1;     0.8;     2.8;     5.4;     6.0;     1.5;     6.0;     6.0;       .;       .;     1.0;     0.8;     1.6;     1.3;     0.7;     0.9;     2.3;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.6;     2.1;    11.6;     1.7;     3.4;     1.2;     4.6;    14.0;     6.1;     5.5;     5.3;     1.5;     2.1
2016;Brunssum;     0.8;     1.1;     7.8;    17.1;    10.0;     1.0;     2.1;    10.0;       .;       .;     0.6;     0.5;     1.4;     0.5;     0.4;     0.6;     1.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     1.1;    11.8;     5.3;     7.6;     0.0;     2.1;     7.0;     7.6;     7.3;     2.8;     1.4;     7.5
2017;Brunssum;     0.8;     1.3;     8.5;    17.9;       .;     0.9;     2.1;    10.0;       .;       .;     0.6;     0.6;     1.4;     0.6;     0.4;     0.6;     1.1;     0.3;     0.5;     1.5;     1.0;     2.0;     2.1;     2.7;     0.5;     0.6;     1.5;     2.0;     1.5;     1.0;     1.5;     1.1;    11.8;     5.3;     7.6;     0.0;     2.1;     6.0;     7.6;     7.3;     2.8;     1.4;     7.5
2018;Brunssum;     1.0;     1.1;     7.7;    16.8;    10.0;     1.0;     2.1;    10.0;       .;       .;     0.7;     0.6;     1.4;     0.6;     0.4;     0.6;     1.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     1.1;    11.8;     5.3;     7.6;     0.0;     2.1;     6.0;     7.6;     7.3;     2.8;     1.4;     7.5
2019;Brunssum;     1.0;     1.1;     6.9;    15.9;    10.0;     1.0;     1.8;    10.0;       .;       .;     0.7;     0.6;     1.4;     0.5;     0.4;     0.5;     1.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     1.1;    11.8;     5.3;     7.5;     0.0;     2.2;     6.0;     7.6;     7.2;     2.7;     1.1;     7.3
2020;Brunssum;     1.0;     1.1;     6.7;    14.6;     9.9;     1.0;     1.8;     9.9;       .;       .;     0.6;     0.6;     1.4;     0.5;     0.4;     0.5;     1.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     1.1;    11.8;     5.3;     7.4;     0.0;     2.2;     6.0;     7.5;     7.2;     2.7;     1.1;     7.3
2021;Brunssum;     1.0;     1.1;     6.7;    14.5;    10.0;     1.0;     1.8;    10.0;       .;       .;     0.6;     0.6;     1.4;     0.5;     0.4;     0.6;     1.1;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;     1.1;    11.8;     5.3;     7.5;     0.0;     2.2;     6.0;     7.5;     7.2;     5.2;     1.1;     7.4
2016;Dalfsen;     2.1;     0.5;     1.3;     1.6;    12.6;     2.1;    11.7;    14.2;       .;       .;     1.6;     1.2;     1.9;     3.2;     1.6;     1.1;     4.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;    10.2;    37.0;     6.1;    13.1;     0.0;     0.2;     4.8;    15.3;    12.5;    10.4;     7.7;    11.7
2017;Dalfsen;     2.1;     0.5;     1.3;     1.6;       .;     2.0;    11.8;    14.2;       .;       .;     1.6;     1.2;     1.9;     4.1;     1.6;     1.1;     4.0;     0.7;     2.5;     5.7;     1.9;     3.9;     4.6;     4.8;     1.2;     1.6;     6.4;     2.5;     2.4;     5.8;     1.5;    10.5;    37.0;     6.1;     6.3;     0.4;     0.9;     5.8;    15.2;    12.5;    10.4;     7.7;    11.7
2018;Dalfsen;     2.1;     0.5;     1.3;     1.6;    12.5;     2.0;    11.8;    14.1;       .;       .;     1.6;     1.2;     1.9;     4.1;     1.6;     1.1;     3.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;    10.5;    37.0;     6.1;     6.3;     0.4;     0.9;     5.7;    15.2;    12.5;    10.4;     7.7;    11.7
2019;Dalfsen;     2.1;     0.4;     1.3;     1.6;    12.4;     2.0;    11.8;    14.1;       .;       .;     1.6;     1.2;     1.9;     4.1;     1.6;     1.1;     3.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;    10.5;    36.7;     5.9;     6.3;     0.4;     0.9;     5.7;    15.2;    12.5;    11.3;     7.7;    10.8
2020;Dalfsen;     2.1;     0.3;     0.8;     0.9;    12.5;     2.0;    11.8;    14.1;       .;       .;     1.6;     1.2;     1.9;     4.4;     1.8;     1.1;     3.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;    10.6;    36.6;     5.9;     6.4;     0.4;     0.9;     5.8;    15.2;    12.3;    11.3;     6.7;    10.8
2021;Dalfsen;     2.1;     0.3;     0.8;     0.9;    12.5;     2.0;    11.8;    14.1;       .;       .;     1.6;     1.2;     3.5;     4.5;     1.7;     1.2;     3.8;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.5;    10.7;    36.6;     5.9;     6.3;     0.4;     0.9;     5.8;    15.2;    12.3;    11.3;     6.8;    10.8
2016;Deventer;     1.0;     1.3;     6.9;    11.2;     4.0;     1.1;     3.9;     3.9;       .;       .;     0.8;     0.7;     2.4;     1.7;     0.7;     0.8;     3.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.0;     2.5;     4.4;     3.8;     3.4;     2.1;     2.9;     7.1;     3.8;     3.4;    14.2;     2.1;     2.5
2017;Deventer;     1.0;     1.2;     6.8;    11.1;       .;     1.1;     3.9;     3.9;       .;       .;     0.8;     0.7;     2.4;     1.9;     0.7;     0.8;     3.0;     0.4;     0.6;     9.9;     1.4;     2.6;     3.8;     3.1;     0.8;     0.9;     2.0;     3.5;     2.0;     2.4;     1.0;     2.5;     4.4;     3.7;     3.4;     2.1;     2.9;     7.1;     3.8;     3.4;    14.2;     2.1;     2.5
2018;Deventer;     1.0;     1.3;     7.1;    12.0;     3.9;     1.1;     3.9;     3.9;       .;       .;     0.8;     0.7;     2.4;     1.9;     0.7;     0.7;     3.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.0;     2.5;     4.4;     3.7;     3.4;     2.1;     2.9;     6.5;     3.8;     3.4;    14.2;     2.0;     3.6
2019;Deventer;     1.0;     1.4;     7.8;    13.0;     3.7;     1.0;     3.7;     3.7;       .;       .;     0.8;     0.7;     2.3;     1.9;     0.7;     0.7;     3.0;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.3;     2.5;     4.2;     3.6;     3.4;     2.2;     2.9;     6.5;     3.8;     3.3;    14.2;     1.9;     3.6
2020;Deventer;     1.0;     1.4;     7.8;    13.1;     3.7;     1.0;     3.7;     3.7;       .;       .;     0.8;     0.7;     2.3;     1.8;     0.6;     0.7;     2.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.4;     2.6;     4.2;     3.5;     3.3;     2.2;     2.9;     6.5;     3.8;     3.3;    14.3;     1.8;     3.5
2021;Deventer;     1.0;     1.3;     7.7;    13.0;    17.6;     1.1;     3.7;     3.7;       .;       .;     0.8;     0.7;     2.3;     2.0;     0.7;     0.7;     2.9;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.4;     2.6;     4.3;     3.5;     3.4;     2.2;     2.9;     6.5;     3.8;     3.6;    14.3;     1.8;     3.6
2016;Dinkelland;     2.0;     0.9;     1.6;     2.5;    10.3;     2.1;    10.3;    19.1;       .;       .;     1.9;     1.0;     4.7;     3.3;     1.9;     0.8;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     1.9;     3.6;    22.2;     3.2;     9.1;     0.1;     1.1;     6.0;    18.3;    17.4;    11.1;     8.8;    10.6
2017;Dinkelland;     2.0;     0.9;     1.6;     2.5;       .;     2.1;     6.9;    19.1;       .;       .;     1.9;     1.1;     4.7;     4.0;     1.9;     0.9;     2.4;     0.5;     2.2;     3.0;     0.7;     2.5;     2.8;     4.3;     0.8;     1.0;    10.9;     2.4;     2.9;     3.0;     1.9;     3.6;    22.2;     3.2;     9.1;     0.1;     1.1;     6.0;    18.3;    17.4;     7.8;     8.8;    10.6
2018;Dinkelland;     2.0;     0.9;     1.5;     2.4;    10.3;     2.1;     6.9;    19.0;       .;       .;     1.9;     1.3;     4.7;     4.0;     1.9;     0.9;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     2.5;     3.6;    22.2;     3.2;     9.1;     0.1;     1.1;     5.6;    18.6;    17.4;     7.7;     8.8;    10.6
2019;Dinkelland;     2.0;     0.9;     1.5;     2.4;    10.4;     2.1;     6.8;    19.0;       .;       .;     1.9;     1.3;     4.7;     4.0;     1.9;     0.9;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.1;     3.6;    21.9;     3.2;     9.0;     0.1;     1.1;     6.3;    18.6;    17.4;     7.6;     8.8;    10.6
2020;Dinkelland;     2.0;     0.8;     1.5;     2.4;    18.9;     2.2;     6.9;    18.9;       .;       .;     1.9;     1.3;     4.7;     4.0;     1.5;     0.9;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.1;     3.6;    21.9;     3.2;     9.0;     0.1;     1.1;     6.3;    18.6;    17.4;     7.6;     8.8;    10.6
2021;Dinkelland;     2.1;     0.7;     1.5;     2.4;    19.0;     2.3;     6.9;    19.0;       .;       .;     1.9;     1.0;     4.7;     3.5;     1.6;     0.9;     2.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.1;     3.6;    21.9;     3.3;     9.0;     0.1;     1.1;     6.3;    18.6;    17.5;     7.7;     9.7;    10.6
2016;Echt-Susteren;     1.0;     1.4;     3.3;     6.2;    12.7;     1.5;     3.7;    12.6;       .;       .;     1.0;     0.7;     3.8;     0.7;     0.8;     1.2;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.9;     3.6;    15.6;     3.9;    10.7;     0.2;     0.7;     5.4;    10.7;     3.6;     8.0;     3.4;     3.7
2017;Echt-Susteren;     1.0;     1.4;     3.3;     6.2;       .;     1.3;     3.6;    12.6;       .;       .;     1.0;     0.7;     3.8;     0.7;     0.8;     1.2;     2.4;     0.7;     1.7;     3.8;     1.2;     6.8;     7.8;     7.2;     0.9;     1.0;     8.0;     2.7;     3.0;     4.0;     3.9;     3.5;    15.6;     3.9;    10.7;     0.2;     0.7;     4.7;    10.7;     3.6;     8.0;     3.4;     3.7
2018;Echt-Susteren;     1.0;     1.4;     3.3;     6.2;    12.7;     1.3;     3.6;    12.6;       .;       .;     1.0;     0.7;     3.8;     0.7;     0.8;     1.2;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     4.0;     3.5;    15.6;     3.9;    10.7;     0.2;     0.7;     4.7;    10.7;     3.6;     8.0;     3.5;     3.7
2019;Echt-Susteren;     1.0;     1.4;     3.3;     6.3;    12.7;     1.4;     3.9;    12.6;       .;       .;     1.0;     0.7;     3.8;     0.7;     0.8;     1.2;     2.4;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.8;     3.5;    15.8;     3.9;    10.7;     0.2;     0.7;     4.7;    10.7;     3.6;     8.0;     3.5;     3.7
2020;Echt-Susteren;     1.2;     1.4;     3.3;     6.0;    12.8;     1.6;     3.9;    12.6;       .;       .;     1.0;     0.7;     3.8;     0.7;     0.8;     1.2;     2.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.8;     3.5;    16.0;     3.9;    10.8;     0.1;     0.7;     4.7;    10.8;     3.7;     8.3;     3.5;     3.7
2021;Echt-Susteren;     1.2;     1.4;     3.3;     5.9;    12.8;     2.1;     4.0;    12.6;       .;       .;     1.0;     0.7;     3.8;     0.9;     0.8;     0.9;     2.5;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;       .;     3.8;     3.5;    16.0;     3.9;    10.9;     0.1;     0.7;     4.7;    10.9;     3.7;     8.3;     3.8;     3.6
2016;Eijsden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Eijsden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
